,Level,Offers Remote,Publish Time,Salary,Title,Close Time,State,Collaboration Type
0,S,False,2020-04-20 16:52:15,8,توسعه‌دهنده Node.js,2020-06-20 03:00:06,C,FT
1,J,False,2020-02-24 12:55:02,12,توسعه‌دهنده Backend,2020-04-25 03:00:05,C,FT
2,J,True,2020-02-12 13:49:32,8,توسعه‌دهنده C#,2020-04-13 03:00:05,C,FT
3,J,False,2020-08-18 15:46:48,3,توسعه‌دهنده Front-end,2020-08-25 21:51:39,C,PT
7,S,False,2020-02-12 14:00:42,4,توسعه‌دهنده C#,2020-04-13 03:00:05,C,PT
8,S,False,2020-02-12 13:48:27,8,توسعه‌دهنده Front End,2020-04-13 03:00:05,C,FT
9,S,False,2019-07-20 15:28:50,4,طراح رابط کاربری (مشهد),2019-09-19 03:00:05,C,FT
10,J,False,2020-09-20 13:47:16,6,توسعه‌دهنده نرم افزار,2020-11-20 03:00:11,C,FT
11,S,True,2020-04-11 11:07:39,4,طراح UX,2020-06-11 03:00:05,C,FT
12,S,False,2019-08-13 11:24:14,3,برنامه‌نویس Asp.net,2019-10-13 03:00:04,C,FT
13,S,False,2020-04-11 11:06:47,8,توسعه‌دهنده Node.js) Full-Stack),2020-06-11 03:00:05,C,FT
15,I,False,2020-02-15 10:15:05,1,توسعه‌دهنده Back-end,2020-04-16 03:00:06,C,PT
17,S,False,2019-12-14 14:23:32,8,توسعه‌دهنده Front End,2020-02-13 03:00:05,C,FT
18,S,True,2020-04-11 11:07:56,4,طراحی فروشگاه اینترنتی,2020-06-11 03:00:05,C,PR
19,S,False,2020-02-15 10:13:21,12,Senior Data Engineer,2020-04-16 03:00:06,C,FT
20,S,False,2020-02-15 10:14:03,8,Senior Front-end (VueJs) Developer,2020-04-16 03:00:06,C,FT
21,S,False,2020-04-12 12:57:24,12,(Senior Python Developer (Germany,2020-06-12 03:00:05,C,FT
22,M,False,2019-08-14 14:28:33,8,برنامه‌نویس اندروید,2019-10-14 03:00:05,C,FT
25,I,False,2020-02-15 10:15:39,1,توسعه‌دهنده Front End,2020-04-16 03:00:06,C,PT
26,J,False,2020-05-14 13:47:00,4,برنامه‌نویس اندروید (Android Developer),2020-06-01 15:09:43,C,FT
27,J,False,2019-07-31 18:30:54,3,برنامه‌نویس وب,2019-09-30 03:00:04,C,FT
28,J,True,2019-12-28 16:49:09,6,توسعه‌دهنده NodeJS,2020-02-27 03:00:05,C,FT
29,S,True,2020-04-13 10:44:16,2,توسعه‌دهنده اندروید,2020-06-13 03:00:06,C,PR
30,S,False,2019-12-28 10:09:33,6,برنامه‌نویس Angular,2020-02-02 12:06:37,C,FT
